A Compact List of Media Inventions,,,,,
no.,média,année,créateur,contenu,lieu
1,"Control of Fire, primitive languages",-500000,Paleolithic people,,
2,Toolmaking,-70000,Neanderthal man ,,
3,Assemblage of head and haft,-20000,Cro-Magnon Homo sapiens,,
4,"Agriculture, Ceramic, Metallurgy",-6000,Neolithic man,,
5,Potter's Wheel,-4000,Neolithic man,,
6,Urban Civilizations,-4000,Sumerians and Egyptians,,
7,Abacus,-3000,Sumerians,,
8,Calendar (365 days),-3000,Egyptians,,Ancient Egypt
9,Papyrus,-3000,Egyptians,,Ancient Egypt
10,Writing (Cuneiform),-3000,Sumerians,,
11,Writing (Hieroglyphics),-3000,Egyptians,,Ancient Egypt
12,Hummurabi's code,-1750,Hammurabi,,Ancient Sumeria
13,Alphabet,-1300,Phoenicians,,Ancient Sumeria
14,Greek alphabet (started -1000),-400,,,Ancient Greece
15,Academy founded,-387,Plato,,
16,Latin alphabet (started -700),-100,,,Ancient Rome
17,Auditorium,425,Théodose II,,
18,Academy finishes,529,,,
19,Paper,600,Chinesse,,Ancient China
20,University of Magnaura,849,Bardas,,Turkey
21,University of Bologna,1088,Frédéric Ier Barberousse,,Italy
22,Oxford University,1096,,,UK
23,University of Paris (La Sorbonne),1167,,,France
24,French language evolution,1200,Parisians,,France
25,Spanish language evolution,1200,Castilians,,Spain
26,Cambridge University founded,1209,,,UK
27,"Clock (mechanical, mainspring)",1300,,,Europe
28,Modern English transition,1400,,,UK
29,Printing with movable type,1455,Johannes Gutenberg,,Germany
30,First illustrated books,1461,Albrecht Pfister,,Germany
31,First editiorial houses,1494,Aldo Manuzio,,
32,Luther's Bible,1522,Martin Luther,,Germany
33,First Protestant university,1527,,,
34,First printing workshop in America,1539,,,
35,First book catalog,1545,,,
36,First art history,1550,Giorgio Vasari,,
37,Mail Post created (Royal Posts),1635,Charles I,,
38,First Photograph,1826,Nicéphore Niépce,,
39,Telegraph,1840,Samuel Morse and A Vail,,
40,MIT founded,1861,William Barton Rogers,,
41,Telephone,1876,Alexander Bell,,
42,Light Bulb,1879,Thomas Edison,,
43,Greenwich set as prime meridian,1884,,,Global
44,Animal Locomotion,1891,Edward Muybridge,Horse and Rider at Full Speed,
45,Kinetoscope,1894,,,
46,Toys Soldiers,1894,William Britain,,UK
47,Cinematograph ,1895,Lumiere Brothers,,France
48,Kinetophone (Phonokinetoscope),1895,Thomas A. Edison,,EUA
49,Manga,1895,,,
50,Radio transmitter/receiver,1895,Guglielmo Marconi,,UK
51,Comic Strip,1898,Richard F. Outcault,Hogan's Alley,EUA
52,Cineorama,1900,Raoul Grimoin-Sanson,,France
53,Flip Book,1900,Henry W. Short,,UK
54,Electric Typewriter,1902,Blickensderfer Manufacturing Company,,EUA
55,Clay Animation (Stop Motion),1908,,The Sculptor's Welsh Rarebit Dream,EUA
56,Cylinder Recordings,1912,Edison company,,EUA
57,Crossword,1913,,,
58,Cubism,1913,Georges Braque,Femme avec guitar,
59,Classic Animation,1914,Winsor McKay,Gertie the Dinosaur,EUA
60,Rotoscoping,1915,Max Fleischer,Out of the Inkwell,
61,Cartoons,1919,Pat Sullivan,Felix the Cat,EUA
62,Kinetic Art,1919,Naum Gabo,Standing Wave,
63,Diorama,1920,,,
64,Radio,1920,8MK Detroit,First broadcast of radio news program,EUA
65,Graphic Design,1922,William Addison Dwiggins,New Kind of Printing Calls for New Design,EUA
66,Iconoscope (television camera tube),1923,Vladimir Zworykin,,Russia
67,Neon Lights,1923,Georges Claude,Pegasus Neon Sign,
68,Surrealism,1924,Andre Breton,,France
69,Jingles,1925,,,
70,Model Animation,1925,Willis O'Brien,The Lost World,
71,Quartz Clock,1925,,,
72,Television system,1926,John Logie Baird,First demonstration of a working television system (12.5 fps),UK
73,Hollywood Star System,1927,Alan Crosland,The Jazz Singer,EUA
74,Sound film ,1931,Charlie Chaplin,City Lights,EUA
75,Pinball,1932,,,
76,Audiometer,1935,,,
77,Electric Guitar,1936,Gibson,,
78,Comic Book,1938,National Allied Publications,Action Comics #1,EUA
79,Stroboscopic Light,1938,,,
80,Pocket Book,1939,,,
81,Lego,1940,,,
82,RGB System,1940,,,
83,Television,1941,NBC and CBS,First TV commercial broadcasting licensing (525-line),EUA
84,First color television transmission system,1942,Guillermo Gonzalez Camarena,,Mexico
85,Photo Film,1943,,,
86,Tape Cassette,1944,,,
87,Computer (ENIAC),1945,,,
88,First notion of mechanical hyperlinks,1945,Vannevar Bush,The Memex,EUA
89,Jukebox,1945,,,
90,Cable Television,1950,Robert Tarlton,First commercial cable television system,EUA
91,Anime,1952,,Astro Boy,
92,Pop Art,1952,The Independent Group (IG),,UK
93,Blue Screen,1953,,,
